Authors,Article Title,Source Title,Publication Year,DOI,Source DB
"muir, d",mentoring and leader identity development: a case study,HUMAN RESOURCE DEVELOPMENT QUARTERLY,2014,10.1002/hrdq.21194,WOS
"gibson, dm; dollarhide, ct; moss, jm; aras, y; mitchell, t",examining leadership with american counseling association presidents: a grounded theory of leadership identity development,JOURNAL OF COUNSELING AND DEVELOPMENT,2018,10.1002/jcad.12219,WOS
"shepherd, rs; horner, dh",indicators of leadership development in undergraduate military education,JOURNAL OF LEADERSHIP STUDIES,2010,10.1002/jls.20165,WOS
"koskiniemi, anne ; perttula, juha ; syväjärvi, antti",existential–experiential view of self‐sourced (in)authentic healthcare identity.,Journal of Leadership Studies,2015,10.1002/jls.21360,PsycInfo
"campbell, c; shollen, sl; egan, c; neilson, bg",the capacious model and leader identity: an integrative framework,JOURNAL OF LEADERSHIP STUDIES,2019,10.1002/jls.21622,WOS
"sunderman, hm; orsini, j",leader(ship) identity development and meaning making: a scoping review,JOURNAL OF LEADERSHIP STUDIES,2024,10.1002/jls.21905,WOS
"galvin, bm; bednar, js; bates, a",existing personal leadership prototypes versus organizational leadership prototypes: how individuals manage tensions between leading with authenticity and conformity during their socialization as leaders in organizations,JOURNAL OF ORGANIZATIONAL BEHAVIOR,2025,10.1002/job.2863,WOS
"sims, cm; carter, ad; frady, kk; de peralta, am; hofrova, a; brown, s",furthering women faculty in leadership roles: a human performance improvement case study,PERFORMANCE IMPROVEMENT QUARTERLY,2022,10.1002/piq.21353,WOS
"nieberle, kw; acton, bp; braun, s; lord, rg; fu, y",leader identity on the fly: intra-personal leader identity dynamics in response to strong events,JOURNAL OF BUSINESS AND PSYCHOLOGY,2024,10.1007/s10869-023-09906-7,WOS
"ramdass, jv",a group member's desire to lead partially depends on their group identification,CURRENT RESEARCH IN ECOLOGICAL AND SOCIAL PSYCHOLOGY,2024,10.1016/j.cresp.2024.100190,WOS
"howieson, w. b. ; bushfield, s. ; martin, g.",leadership identity construction in a hybrid medical context: ‘claimed’ but not ‘granted’.,European Management Journal,2024,10.1016/j.emj.2023.04.012,PsycInfo
"bunea, emilia ; kark, ronit ; hammond, michelle",“leisureship”: impact of pursuing serious leisure on leaders' performance.,Human Resource Management Review,2023,10.1016/j.hrmr.2022.100950,PsycInfo
"carnevale, jb; huang, l; paterson, t",lmx-differentiation strengthens the prosocial consequences of leader humility: an identification and social exchange perspective,JOURNAL OF BUSINESS RESEARCH,2019,10.1016/j.jbusres.2018.11.048,WOS
"harms, pd; roberts, bw; wood, d",who shall lead? an integrative personality approach to the study of the antecedents of status in informal social organizations,JOURNAL OF RESEARCH IN PERSONALITY,2007,10.1016/j.jrp.2006.08.001,WOS
"rus, d; van knippenberg, d; wisse, b",leader self-definition and leader self-serving behavior,LEADERSHIP QUARTERLY,2010,10.1016/j.leaqua.2010.03.013,WOS
"murphy, se; johnson, sk",the benefits of a long-lens approach to leader development: understanding the seeds of leadership,LEADERSHIP QUARTERLY,2011,10.1016/j.leaqua.2011.04.004,WOS
"day, dv; sin, hp",longitudinal tests of an integrative model of leader development: charting and understanding developmental trajectories,LEADERSHIP QUARTERLY,2011,10.1016/j.leaqua.2011.04.011,WOS
"guillén, l; mayo, m; korotov, k",is leadership a part of me? a leader identity approach to understanding the motivation to lead,LEADERSHIP QUARTERLY,2015,10.1016/j.leaqua.2015.05.001,WOS
"marchiondo, la; myers, cg; kopelman, s",the relational nature of leadership identity construction: how and when it influences perceived leadership and decision-making,LEADERSHIP QUARTERLY,2015,10.1016/j.leaqua.2015.06.006,WOS
"miscenko, d; guenter, h; day, dv",am i a leader? examining leader identity development over time,LEADERSHIP QUARTERLY,2017,10.1016/j.leaqua.2017.01.004,WOS
