Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
GXRXLYY5,journalArticle,2016,"van dick, r; kerschreiter, r",the social identity approach to effective leadership: an overview and some ideas on cross-cultural generalizability,FRONTIERS OF BUSINESS RESEARCH IN CHINA,,,10.3868/s070-005-016-0013-3,,,2016,4/16/25 15:58,4/17/25 8:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2EY2BAE,journalArticle,2024,"mosala, t; bennett, k",leader identity and identity work: enhancing coaching of leaders in changing contexts,INTERNATIONAL JOURNAL OF EVIDENCE BASED COACHING & MENTORING,,,10.24384/wm88-ke86,,,2024,4/16/25 15:58,4/17/25 8:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPHWEDEF,journalArticle,2023,"cunningham, jl; sonday, l; ashford, sj","do i dare? the psychodynamics of anticipated image risk, leader-identity endorsement, and leader emergence",ACADEMY OF MANAGEMENT JOURNAL,,,10.5465/amj.2018.1258,,,2023,4/16/25 16:07,4/17/25 8:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUF33DAW,journalArticle,2010,"DeRue, D. Scott; Ashford, Susan J.",WHO WILL LEAD AND WHO WILL FOLLOW? A SOCIAL PROCESS OF LEADERSHIP IDENTITY CONSTRUCTION IN ORGANIZATIONS.,Academy of Management Review,,,10.5465/amr.2010.53503267,,,2010,4/17/25 8:31,4/17/25 8:31,,627-647,,4,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U3DASFHK,journalArticle,2019,"Chrobot-Mason, Donna; Hoobler, Jenny M.; Burno, Jasmine",<i>Lean In</i>Versus the Literature: An Evidence-Based Examination,Academy of Management Perspectives,,,10.5465/amp.2016.0156,,,2019,4/17/25 8:31,4/17/25 8:31,,110-130,,1,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XZYFLK28,journalArticle,2020,"Yip, Jeffrey; Trainor, Leslie L.; Black, Hunter; Soto-Torres, Lisa; Reichard, Rebecca J.",Coaching New Leaders: A Relational Process of Integrating Multiple Identities,Academy of Management Learning &amp; Education,,,10.5465/amle.2017.0449,,,2020,4/17/25 8:31,4/17/25 8:31,,503-520,,4,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW6SSYPE,journalArticle,2020,"Zaar, Sonja; Van Den Bossche, Piet; Gijselaers, Wim",How Business Students Think about Leadership: A Qualitative Study on Leader Identity and Meaning-Making,Academy of Management Learning &amp; Education,,,10.5465/amle.2017.0290,,,2020,4/17/25 8:31,4/17/25 8:31,,168-191,,2,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S34MRJHM,journalArticle,2011,"Kark, Ronit",Games Managers Play: Play as a Form of Leadership Development,Academy of Management Learning &amp; Education,,,10.5465/amle.2010.0048,,,2011,4/17/25 8:31,4/17/25 8:31,,507-527,,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QPKPB4TE,journalArticle,2022,"Petriglieri, Gianpiero; Peshkam, Annie",Stranger Leaders: A Theory of Marginal Leaders’ Conception of Learning in Organizations,Academy of Management Journal,,,10.5465/amj.2019.0162,,,2022,4/17/25 8:31,4/17/25 8:31,,1240-1273,,4,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3N4YRYYR,journalArticle,2023,"Lee Cunningham, Julia; Sonday, Laura; Ashford, Susan J.","Do I Dare? The Psychodynamics of Anticipated Image Risk, Leader-Identity Endorsement, and Leader Emergence",Academy of Management Journal,,,10.5465/amj.2018.1258,,,2023,4/17/25 8:31,4/17/25 8:31,,374-401,,2,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGUQFTXB,journalArticle,2017,"Stewart, Greg L.; Astrove, Stacy L.; Reeves, Cody J.; Crawford, Eean R.; Solimeo, Samantha L.",Those with the Most Find It Hardest to Share: Exploring Leader Resistance to the Implementation of Team-based Empowerment,Academy of Management Journal,,,10.5465/amj.2015.1173,,,2017,4/17/25 8:31,4/17/25 8:31,,2266-2293,,6,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J5YB2J5Y,journalArticle,2021,"McInerney, Éamon; Giga, Sabir; Morris, Abigail S.",Does it last? A systematic review of the enduring effects on managers from executive coaching,International Coaching Psychology Review,,,10.53841/bpsicpr.2021.16.2.22,,"This systematic review explores the enduring, individual effects on managers following executive coaching, which is a widely used, expensive intervention. To date, short-term effects appear largely positive, although the medium and long-term individual effects are largely under-investigated. The data for the review comprise primary studies published in peer-reviewed journals reporting individual outcomes on managers from executive coaching where data were collected at least one month after the end of the coaching. Evidence of enduring outcomes from the 16 retained studies was integrated using narrative synthesis. Research insights from the studies were integrated using techniques of meta-synthesis. The synthesis of evidence suggests that effects in the cognitive, behavioural and affective domains persist in the months following the coaching and that some effects may emerge only after the intervention has ended. The insights from the retained studies suggest that enduring outcomes involve two key sub-processes occurring within the overall coaching process: ‘psychological resourcing’ and ‘leader identity development’. Overall, the systematic review highlights the paucity of research on how the effects of executive coaching unfold over time and the absence of a theoretical framework to guide research in this area. Specific knowledge gaps are identified and future research strategies are proposed.",2021,4/17/25 8:31,4/17/25 8:31,,22-50,,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QJN997GE,journalArticle,2024,"Mumtaz, Sana",The Double-Edged Sword: Unraveling the Dual Outcomes of Workplace Humor on the Social Identity of Employees,International Review of Social Psychology,,,10.5334/irsp.935,,,2024,4/17/25 8:31,4/17/25 8:31,,,,1,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q38RNK7Z,journalArticle,2022,"Barkhuizen, Emmerentia N.; Masakane, Gwendoline; Van der Sluis, Lidewey",In search of factors that hinder the career advancement of women to senior leadership positions,SA Journal of Industrial Psychology,,,10.4102/sajip.v48i0.1986,,"Orientation: Despite promising legislative frameworks and policies to eradicate gender imbalances in the workplace, women have yet to earn their rightful place as senior business leaders.Research purpose: The primary goal of this study was to investigate the factors that prevent women from advancing to senior leadership positions in a variety of South African business contexts.Motivation for the study: More research is required to understand the unique challenges that senior women leaders experience in various South African business contexts.Research approach/design and method: This research followed a qualitative approach. Data were gathered using semistructured interviews with nine women (n = 9) who made significant inroads in their respective professions. Theme analyses were applied to analyse the data.Main findings: The findings revealed six factors that hinder the career advancement of women to senior leadership positions: societal perceptions and stereotypes, a lack of mentorship, masculine corporate cultures, leadership identity distortions, inadequate training and development and poor work-life balance.Practical/managerial implications: Organisations are encouraged to create more feminine workplace cultures that allow women to realise their full potential and establish their identity as senior leaders. Mentoring, networking, and professional development opportunities can all assist women in advancing their careers. Senior female leaders play an essential role in fostering workplace cultures that promote equal opportunity and combat unfair discrimination on various grounds. They pave the way for younger, upcoming female talent to move into senior management positions more quickly.Contribution/value-add: This study fills important gaps in the global understanding of the factors limiting women’s career advancement to senior leadership positions. The findings of this study emphasise the importance of recognising and embracing women’s leadership competence in the modern workplace.",2022,4/17/25 8:31,4/17/25 8:31,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3E535L99,journalArticle,2018,"Cilliers, Frans",The experienced impact of systems psychodynamic leadership coaching amongst professionals in a financial services organisation,South African Journal of Economic and Management Sciences,,,10.4102/sajems.v21i1.2091,,"Background: Systems psychodynamic leadership coaching is a depth psychology perspective that provides opportunities for coachees to explore their leadership identity as it manifests in their conscious and unconscious role behaviour.Aim: The research aim was to explore the experienced impact of systems psychodynamic leadership coaching amongst professionals in a financial services organisation, and to report on how this impact can be understood in the context of the literature guidelines on coaching and leadership effectiveness.Setting: The research was undertaken in a large South African financial services organisation where individual leadership coaching forms part of the leadership development programme (LDP).Methods: The research was qualitative, explorative and descriptive in nature. A multi-case approach was used. Sampling was convenient and opportunistic and comprised of 15 charted accountants who attended six 90-min coaching sessions over 12 weeks. Data gathering comprised field notes and coachee essays during and after coaching. Hermeneutic phenomenology was used as the interpretive stance.Results: Anxiety, task, role, boundaries, authorisation and identity manifested as themes. Coachees explored how their leadership identity was informed by their anxiety and defence mechanisms, how they took up their leadership role, authorised themselves and their colleagues, and managed their boundaries effectively. Compared to the general guidelines for leadership coaching effectiveness and the general indicators for effective leadership, systems psychodynamic leadership coaching seems to add value to leadership effectiveness.Conclusion: Professionals in this financial services organisation experienced systems psychodynamic leadership coaching as demanding, challenging and yet fulfilling towards the exploration of their leadership identity. It seems that systems psychodynamics, as coaching stance, created a safe and good-enough container for these financial professionals to explore their own unconscious leadership behaviour and to gain a significant level of understanding and awareness of their own anxiety and defensive behaviours in their interaction with followers.",2018,4/17/25 8:31,4/17/25 8:31,,,,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463RFWKL,journalArticle,2024,"Jonck, Petronella",Responsible leadership in the public sector: A sector-specific interpretation,South African Journal of Business Management,,,10.4102/sajbm.v55i1.4272,,,2024,4/17/25 8:31,4/17/25 8:31,,,,1,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
