paper_id,Authors,Article Title,Source Title,Publication Year,DOI,Source DB
1,"ketola, t","responsible leadership: building blocks of individual, organizational and societal behavior",CORPORATE SOCIAL RESPONSIBILITY AND ENVIRONMENTAL MANAGEMENT,2010,10.1002/csr.228,WOS
2,"muir, douglas",mentoring and leader identity development: a case study.,Human Resource Development Quarterly,2014,10.1002/hrdq.21194,PsycInfo
3,"gibson, donna m. ; dollarhide, colette t. ; moss, julie m. ; aras, yahyahan ; mitchell, thomas",examining leadership with american counseling association presidents: a grounded theory of leadership identity development.,Journal of Counseling & Development,2018,10.1002/jcad.12219,PsycInfo
4,"shepherd, rebecca s. ; horner, donald h.",indicators of leadership development in undergraduate military education.,Journal of Leadership Studies,2010,10.1002/jls.20165,PsycInfo
5,"koskiniemi, a; perttula, j; syväjärvi, a",existential-experiential view of self-sourced (in) authentic healthcare identity,JOURNAL OF LEADERSHIP STUDIES,2015,10.1002/jls.21360,WOS
6,"campbell, constance ; shollen, s. lynn ; egan, chrys ; neilson, brionne g.",the capacious model and leader identity: an integrative framework.,Journal of Leadership Studies,2019,10.1002/jls.21622,PsycInfo
7,"boyd, barry l. ; armstrong‐smith, christina ; forbes, amy ; holmes, aja c.",understanding the leadership learner: priority 3 of the national leadership education research agenda 2020–2025.,Journal of Leadership Studies,2020,10.1002/jls.21718,PsycInfo
8,"sunderman, hm; hastings, lj; sellon, a",measuring generativity among emerging adults: advancements and applications,JOURNAL OF LEADERSHIP STUDIES,2024,10.1002/jls.21891,WOS
9,"sunderman, hannah m. ; orsini, jonathan",leader(ship) identity development and meaning making: a scoping review.,Journal of Leadership Studies,2024,10.1002/jls.21905,PsycInfo
10,"galvin, benjamin m. ; bednar, jeffrey s. ; bates, archie",existing personal leadership prototypes versus organizational leadership prototypes: how individuals manage tensions between leading with authenticity and conformity during their socialization as leaders in organizations.,Journal of Organizational Behavior,2025,10.1002/job.2863,PsycInfo
11,"sims, cynthia m. ; carter, angela d. ; frady, kristin k. ; moore de peralta, arelis ; hofrova, alena ; brown, stephen",furthering women faculty in leadership roles: a human performance improvement case study.,Performance Improvement Quarterly,2022,10.1002/piq.21353,PsycInfo
12,"pless, nm",understanding responsible leadership: role identity and motivational drivers,JOURNAL OF BUSINESS ETHICS,2007,10.1007/s10551-007-9518-x,WOS
13,"eubanks, dawn l. ; brown, andrew d. ; ybema, sierk","leadership, identity, and ethics.",Journal of Business Ethics,2012,10.1007/s10551-012-1295-5,PsycInfo
14,"nieberle, karolina w. ; acton, bryan p. ; braun, susanne ; lord, robert g. ; fu, yue (angelique)",leader identity on the fly: intra-personal leader identity dynamics in response to strong events.,Journal of Business and Psychology,2024,10.1007/s10869-023-09906-7,PsycInfo
15,"westen, w; graça, m",managerial identity work: a systematic literature review with a conceptual model,MANAGEMENT REVIEW QUARTERLY,2024,10.1007/s11301-024-00481-6,WOS
16,"hoggett, james ; redford, paul ; toher, deirdre ; white, paul","challenges for police leadership: identity, experience, legitimacy and direct entry.",Journal of Police and Criminal Psychology,2019,10.1007/s11896-018-9264-2,PsycInfo
17,"thompson-whiteside, h",something in adland doesn't add up: it's time to make female creatives count,BUSINESS HORIZONS,2020,10.1016/j.bushor.2020.05.003,WOS
18,"ramdass, jeff v.",a group member's desire to lead partially depends on their group identification.,Current Research in Ecological and Social Psychology,2024,10.1016/j.cresp.2024.100190,PsycInfo
19,"howieson, wb; bushfield, s; martin, g",leadership identity construction in a hybrid medical context: 'claimed' but not 'granted',EUROPEAN MANAGEMENT JOURNAL,2024,10.1016/j.emj.2023.04.012,WOS
20,"bunea, e; kark, r; hammond, m",leisureship: impact of pursuing serious leisure on leaders' performance,HUMAN RESOURCE MANAGEMENT REVIEW,2023,10.1016/j.hrmr.2022.100950,WOS
21,"laritza, mr; eva, c; pilar, ls; mónica, sp",the role of experiential and transformative learning in fostering young women's leadership: a pilot study,INTERNATIONAL JOURNAL OF MANAGEMENT EDUCATION,2025,10.1016/j.ijme.2024.101123,WOS
22,"carnevale, joel b. ; huang, lei ; paterson, ted",lmx-differentiation strengthens the prosocial consequences of leader humility: an identification and social exchange perspective.,Journal of Business Research,2019,10.1016/j.jbusres.2018.11.048,PsycInfo
